User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:26:21
CalculationTime:;02:07:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
Jordan;0;0,6;100;3~1;no PCA;Day;Day;Day;0,175478354300876
Elman;0;0,6;100;3~1;no PCA;Day;Day;Day;0,177255237717925
MLP;0,2;0,6;100;3~1;no PCA;Day;Day;Day;0,10986219991373
Jordan;0,2;0,6;100;3~1;no PCA;Day;Day;Day;0,106894754132753
Elman;0,2;0,6;100;3~1;no PCA;Day;Day;Day;0,10466692176398
MLP;0,4;0,6;100;3~1;no PCA;Day;Day;Day;0,103056893253271
Jordan;0,4;0,6;100;3~1;no PCA;Day;Day;Day;0,102656239443273
Elman;0,4;0,6;100;3~1;no PCA;Day;Day;Day;0,10184698813943
MLP;0,6;0,6;100;3~1;no PCA;Day;Day;Day;0,101443342225143
Jordan;0,6;0,6;100;3~1;no PCA;Day;Day;Day;0,102266005779084
Elman;0,6;0,6;100;3~1;no PCA;Day;Day;Day;0,101945044457696
MLP;0,8;0,6;100;3~1;no PCA;Day;Day;Day;0,101725829922541
Jordan;0,8;0,6;100;3~1;no PCA;Day;Day;Day;0,102841366131531
Elman;0,8;0,6;100;3~1;no PCA;Day;Day;Day;0,102722619821596
MLP;1;0,6;100;3~1;no PCA;Day;Day;Day;0,101553887194735
Jordan;1;0,6;100;3~1;no PCA;Day;Day;Day;0,103804990496291
Elman;1;0,6;100;3~1;no PCA;Day;Day;Day;0,103794449147657
MLP;0;0,8;100;3~1;no PCA;Day;Day;Day;0,234748372708197
Jordan;0;0,8;100;3~1;no PCA;Day;Day;Day;0,235303952081587
Elman;0;0,8;100;3~1;no PCA;Day;Day;Day;0,231211469671902
MLP;0,2;0,8;100;3~1;no PCA;Day;Day;Day;0,122301716187775
Jordan;0,2;0,8;100;3~1;no PCA;Day;Day;Day;0,119084401727285
Elman;0,2;0,8;100;3~1;no PCA;Day;Day;Day;0,116771403644037
MLP;0,4;0,8;100;3~1;no PCA;Day;Day;Day;0,116341494084696
Jordan;0,4;0,8;100;3~1;no PCA;Day;Day;Day;0,115236487812933
Elman;0,4;0,8;100;3~1;no PCA;Day;Day;Day;0,114278172525418
MLP;0,6;0,8;100;3~1;no PCA;Day;Day;Day;0,115555564586756
Jordan;0,6;0,8;100;3~1;no PCA;Day;Day;Day;0,115170286296487
Elman;0,6;0,8;100;3~1;no PCA;Day;Day;Day;0,114585299561539
MLP;0,8;0,8;100;3~1;no PCA;Day;Day;Day;0,115987760906826
Jordan;0,8;0,8;100;3~1;no PCA;Day;Day;Day;0,115989955910517
Elman;0,8;0,8;100;3~1;no PCA;Day;Day;Day;0,115595785935572
MLP;1;0,8;100;3~1;no PCA;Day;Day;Day;0,117102674601431
Jordan;1;0,8;100;3~1;no PCA;Day;Day;Day;0,117219281570254
