User:;Maciej
IndexName:;WIG20withMacro
StartDate:;2015-01-14 23:41:22
CalculationTime:;04:44:19
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;40000;5~5~1;no PCA;Day;Day;Day;1750,33715641899;0,498710061520143;0,503076007144275;0,67741935483871
Jordan;0,25;0;40000;5~5~1;no PCA;Day;Day;Day;1656,56243609662;0,497519349077198;0,503076007144275;0,645161290322581
Elman;0,25;0;40000;5~5~1;no PCA;Day;Day;Day;919,412753273179;0,498511609446319;0,503076007144275;0,838709677419355
MLP;0,5;0;40000;5~5~1;no PCA;Day;Day;Day;1258,42033992505;0,494741020043659;0,503076007144275;0,774193548387097
Jordan;0,5;0;40000;5~5~1;no PCA;Day;Day;Day;1049,32050960383;0,498710061520143;0,503076007144275;0,806451612903226
Elman;0,5;0;40000;5~5~1;no PCA;Day;Day;Day;673,06624192853;0,498511609446319;0,503076007144275;0,903225806451613
MLP;0,75;0;40000;5~5~1;no PCA;Day;Day;Day;791,621001274944;0,499702321889264;0,503076007144275;0,870967741935484
Jordan;0,75;0;40000;5~5~1;no PCA;Day;Day;Day;747,75689050184;0,497519349077198;0,503076007144275;0,870967741935484
Elman;0,75;0;40000;5~5~1;no PCA;Day;Day;Day;477,531559780452;0,496527088708077;0,503076007144275;0,935483870967742
MLP;1;0;40000;5~5~1;no PCA;Day;Day;Day;641,184124334599;0,499900773963088;0,503076007144275;0,903225806451613
Jordan;1;0;40000;5~5~1;no PCA;Day;Day;Day;580,479037894086;0,499106965667791;0,503076007144275;0,967741935483871
Elman;1;0;40000;5~5~1;no PCA;Day;Day;Day;308,278659261747;0,495336376265132;0,503076007144275;0,967741935483871
MLP;0,25;0,25;40000;5~5~1;no PCA;Day;Day;Day;1839,95683730049;0,500694582258385;0,503076007144275;0,67741935483871
Jordan;0,25;0,25;40000;5~5~1;no PCA;Day;Day;Day;1654,47308788633;0,49811470529867;0,503076007144275;0,709677419354839
Elman;0,25;0,25;40000;5~5~1;no PCA;Day;Day;Day;1291,46359953464;0,49811470529867;0,503076007144275;0,774193548387097
MLP;0,5;0,25;40000;5~5~1;no PCA;Day;Day;Day;1426,92650390525;0,499702321889264;0,503076007144275;0,806451612903226
Jordan;0,5;0,25;40000;5~5~1;no PCA;Day;Day;Day;1445,18792992273;0,499305417741615;0,503076007144275;0,741935483870968
Elman;0,5;0,25;40000;5~5~1;no PCA;Day;Day;Day;792,685443142161;0,495534828338956;0,503076007144275;0,870967741935484
MLP;0,75;0,25;40000;5~5~1;no PCA;Day;Day;Day;874,22190878574;0,497916253224846;0,503076007144275;0,870967741935484
Jordan;0,75;0,25;40000;5~5~1;no PCA;Day;Day;Day;1015,38513175578;0,499702321889264;0,503076007144275;0,870967741935484
Elman;0,75;0,25;40000;5~5~1;no PCA;Day;Day;Day;540,168515515304;0,493947211748363;0,503076007144275;0,967741935483871
MLP;1;0,25;40000;5~5~1;no PCA;Day;Day;Day;715,938235254196;0,498710061520143;0,503076007144275;0,903225806451613
Jordan;1;0,25;40000;5~5~1;no PCA;Day;Day;Day;711,086328027313;0,499106965667791;0,503076007144275;0,967741935483871
Elman;1;0,25;40000;5~5~1;no PCA;Day;Day;Day;450,7429126137;0,494741020043659;0,503076007144275;0,967741935483871
MLP;0,25;0,5;40000;5~5~1;no PCA;Day;Day;Day;1776,13629429577;0,50049613018456;0,503076007144275;0,741935483870968
Jordan;0,25;0,5;40000;5~5~1;no PCA;Day;Day;Day;1691,39235145842;0,499702321889264;0,503076007144275;0,774193548387097
Elman;0,25;0,5;40000;5~5~1;no PCA;Day;Day;Day;1503,72534519678;0,499900773963088;0,503076007144275;0,806451612903226
MLP;0,5;0,5;40000;5~5~1;no PCA;Day;Day;Day;1439,4963775337;0,500099226036912;0,503076007144275;0,709677419354839
Jordan;0,5;0,5;40000;5~5~1;no PCA;Day;Day;Day;1566,38646649083;0,496130184560429;0,503076007144275;0,709677419354839
Elman;0,5;0,5;40000;5~5~1;no PCA;Day;Day;Day;977,982292361187;0,496130184560429;0,503076007144275;0,838709677419355
MLP;0,75;0,5;40000;5~5~1;no PCA;Day;Day;Day;1135,35135437419;0,49811470529867;0,503076007144275;0,870967741935484
Jordan;0,75;0,5;40000;5~5~1;no PCA;Day;Day;Day;1115,17781205728;0,497122444929549;0,503076007144275;0,903225806451613
Elman;0,75;0,5;40000;5~5~1;no PCA;Day;Day;Day;665,872232538365;0,495931732486604;0,503076007144275;0,903225806451613
MLP;1;0,5;40000;5~5~1;no PCA;Day;Day;Day;992,111344552923;0,49811470529867;0,503076007144275;0,806451612903226
Jordan;1;0,5;40000;5~5~1;no PCA;Day;Day;Day;1109,34063432832;0,498908513593967;0,503076007144275;0,870967741935484
Elman;1;0,5;40000;5~5~1;no PCA;Day;Day;Day;592,226079711606;0,498511609446319;0,503076007144275;0,967741935483871
MLP;0,25;0,75;40000;5~5~1;no PCA;Day;Day;Day;1850,36891485938;0,500099226036912;0,503076007144275;0,774193548387097
Jordan;0,25;0,75;40000;5~5~1;no PCA;Day;Day;Day;1988,68690359196;0,497916253224846;0,503076007144275;0,709677419354839
Elman;0,25;0,75;40000;5~5~1;no PCA;Day;Day;Day;1498,92733867075;0,499305417741615;0,503076007144275;0,774193548387097
MLP;0,5;0,75;40000;5~5~1;no PCA;Day;Day;Day;1335,08484962823;0,500099226036912;0,503076007144275;0,741935483870968
Jordan;0,5;0,75;40000;5~5~1;no PCA;Day;Day;Day;1555,3148957844;0,499900773963088;0,503076007144275;0,774193548387097
Elman;0,5;0,75;40000;5~5~1;no PCA;Day;Day;Day;1179,84969594363;0,501091486406033;0,503076007144275;0,838709677419355
MLP;0,75;0,75;40000;5~5~1;no PCA;Day;Day;Day;1216,05746283648;0,497916253224846;0,503076007144275;0,838709677419355
Jordan;0,75;0,75;40000;5~5~1;no PCA;Day;Day;Day;1235,98105296277;0,49950386981544;0,503076007144275;0,838709677419355
Elman;0,75;0,75;40000;5~5~1;no PCA;Day;Day;Day;3650,72039988112;0,496130184560429;0,503076007144275;0,903225806451613
MLP;1;0,75;40000;5~5~1;no PCA;Day;Day;Day;913,230393068965;0,498511609446319;0,503076007144275;0,806451612903226
Jordan;1;0,75;40000;5~5~1;no PCA;Day;Day;Day;1033,29262515026;0,49811470529867;0,503076007144275;0,870967741935484
Elman;1;0,75;40000;5~5~1;no PCA;Day;Day;Day;869,341774732207;0,496328636634253;0,503076007144275;0,870967741935484
