User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-15 12:44:55
CalculationTime:;02:46:41
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Elman;1;0;10000;10~1;no PCA;Week;Day;Day;2499,0274462613;0,495729890764647;0,502681231380338;0,580645161290323
MLP;1,5;0;10000;10~1;no PCA;Week;Day;Day;2098,60756775343;0,495729890764647;0,502681231380338;0,709677419354839
Jordan;1,5;0;10000;10~1;no PCA;Week;Day;Day;2134,16573148139;0,496325719960278;0,502681231380338;0,741935483870968
Elman;1,5;0;10000;10~1;no PCA;Week;Day;Day;2419,43411789513;0,495134061569017;0,502681231380338;0,67741935483871
MLP;2;0;10000;10~1;no PCA;Week;Day;Day;2039,54549913683;0,495531281032771;0,502681231380338;0,741935483870968
Jordan;2;0;10000;10~1;no PCA;Week;Day;Day;2112,80017710554;0,495332671300894;0,502681231380338;0,774193548387097
Elman;2;0;10000;10~1;no PCA;Week;Day;Day;2380,7317929929;0,49493545183714;0,502681231380338;0,645161290322581
MLP;0;0;10000;30~1;no PCA;Week;Day;Day;3112992,40278545;0,496127110228401;0,502681231380338;0,612903225806452
Jordan;0;0;10000;30~1;no PCA;Week;Day;Day;2966614,88681122;0,506454816285998;0,502681231380338;0,451612903225806
Elman;0;0;10000;30~1;no PCA;Week;Day;Day;1291287,86966298;0,496325719960278;0,502681231380338;0,548387096774194
MLP;0,5;0;10000;30~1;no PCA;Week;Day;Day;2471,77385150223;0,495928500496524;0,502681231380338;0,645161290322581
Jordan;0,5;0;10000;30~1;no PCA;Week;Day;Day;2581,19601101669;0,495928500496524;0,502681231380338;0,67741935483871
Elman;0,5;0;10000;30~1;no PCA;Week;Day;Day;2634,29569228556;0,495729890764647;0,502681231380338;0,645161290322581
MLP;1;0;10000;30~1;no PCA;Week;Day;Day;2153,31570831219;0,495729890764647;0,502681231380338;0,67741935483871
Jordan;1;0;10000;30~1;no PCA;Week;Day;Day;2214,16941826619;0,495928500496524;0,502681231380338;0,67741935483871
Elman;1;0;10000;30~1;no PCA;Week;Day;Day;2636,45090377634;0,495729890764647;0,502681231380338;0,645161290322581
MLP;1,5;0;10000;30~1;no PCA;Week;Day;Day;2114,65377359731;0,495531281032771;0,502681231380338;0,709677419354839
Jordan;1,5;0;10000;30~1;no PCA;Week;Day;Day;2130,94116352343;0,495729890764647;0,502681231380338;0,709677419354839
Elman;1,5;0;10000;30~1;no PCA;Week;Day;Day;2604,6910173914;0,495729890764647;0,502681231380338;0,612903225806452
MLP;2;0;10000;30~1;no PCA;Week;Day;Day;2070,278733579;0,495531281032771;0,502681231380338;0,67741935483871
Jordan;2;0;10000;30~1;no PCA;Week;Day;Day;2125,62194706654;0,495332671300894;0,502681231380338;0,67741935483871
Elman;2;0;10000;30~1;no PCA;Week;Day;Day;2560,04083756947;0,495531281032771;0,502681231380338;0,645161290322581
MLP;0;0;10000;2~2~1;no PCA;Week;Day;Day;1585655,8686637;0,495134061569017;0,502681231380338;0,451612903225806
Jordan;0;0;10000;2~2~1;no PCA;Week;Day;Day;543920,723488141;0,498907646474677;0,502681231380338;0,451612903225806
Elman;0;0;10000;2~2~1;no PCA;Week;Day;Day;2169106,88479665;0,499503475670308;0,502681231380338;0,451612903225806
MLP;0,5;0;10000;2~2~1;no PCA;Week;Day;Day;2136,1346122922;0,495332671300894;0,502681231380338;0,741935483870968
Jordan;0,5;0;10000;2~2~1;no PCA;Week;Day;Day;2251,61986664033;0,495332671300894;0,502681231380338;0,709677419354839
Elman;0,5;0;10000;2~2~1;no PCA;Week;Day;Day;2359,18013421774;0,49493545183714;0,502681231380338;0,741935483870968
MLP;1;0;10000;2~2~1;no PCA;Week;Day;Day;2004,11231627453;0,495332671300894;0,502681231380338;0,774193548387097
Jordan;1;0;10000;2~2~1;no PCA;Week;Day;Day;2047,69123089972;0,495134061569017;0,502681231380338;0,741935483870968
Elman;1;0;10000;2~2~1;no PCA;Week;Day;Day;2144,98605238655;0,495134061569017;0,502681231380338;0,709677419354839
MLP;1,5;0;10000;2~2~1;no PCA;Week;Day;Day;2079,17217212726;0,495729890764647;0,502681231380338;0,709677419354839
Jordan;1,5;0;10000;2~2~1;no PCA;Week;Day;Day;2104,12093500686;0,494736842105263;0,502681231380338;0,741935483870968
Elman;1,5;0;10000;2~2~1;no PCA;Week;Day;Day;2262,86492003198;0,495928500496524;0,502681231380338;0,67741935483871
MLP;2;0;10000;2~2~1;no PCA;Week;Day;Day;2096,8521898836;0,495332671300894;0,502681231380338;0,67741935483871
Jordan;2;0;10000;2~2~1;no PCA;Week;Day;Day;2109,16295534084;0,495928500496524;0,502681231380338;0,67741935483871
Elman;2;0;10000;2~2~1;no PCA;Week;Day;Day;2208,14721955246;0,495134061569017;0,502681231380338;0,645161290322581
MLP;0;0;10000;5~5~1;no PCA;Week;Day;Day;1957511,73717635;0,498311817279047;0,502681231380338;0,451612903225806
Jordan;0;0;10000;5~5~1;no PCA;Week;Day;Day;2241189,56323355;0,500297914597815;0,502681231380338;0,451612903225806
Elman;0;0;10000;5~5~1;no PCA;Week;Day;Day;1775702,68910097;0,498311817279047;0,502681231380338;0,451612903225806
MLP;0,5;0;10000;5~5~1;no PCA;Week;Day;Day;2119,96839081623;0,495134061569017;0,502681231380338;0,741935483870968
Jordan;0,5;0;10000;5~5~1;no PCA;Week;Day;Day;2185,57465262115;0,49493545183714;0,502681231380338;0,774193548387097
Elman;0,5;0;10000;5~5~1;no PCA;Week;Day;Day;2356,56168649854;0,495332671300894;0,502681231380338;0,709677419354839
MLP;1;0;10000;5~5~1;no PCA;Week;Day;Day;1972,01943841752;0,495531281032771;0,502681231380338;0,838709677419355
Jordan;1;0;10000;5~5~1;no PCA;Week;Day;Day;2054,51303709734;0,495531281032771;0,502681231380338;0,774193548387097
Elman;1;0;10000;5~5~1;no PCA;Week;Day;Day;2292,58269436287;0,49493545183714;0,502681231380338;0,645161290322581
MLP;1,5;0;10000;5~5~1;no PCA;Week;Day;Day;2007,79119200313;0,49493545183714;0,502681231380338;0,741935483870968
Jordan;1,5;0;10000;5~5~1;no PCA;Week;Day;Day;2138,26494187829;0,494736842105263;0,502681231380338;0,67741935483871
Elman;1,5;0;10000;5~5~1;no PCA;Week;Day;Day;2368,26165467458;0,495134061569017;0,502681231380338;0,67741935483871
MLP;2;0;10000;5~5~1;no PCA;Week;Day;Day;2155,29076343669;0,49493545183714;0,502681231380338;0,67741935483871
Jordan;2;0;10000;5~5~1;no PCA;Week;Day;Day;2223,51508626668;0,495729890764647;0,502681231380338;0,67741935483871
Elman;2;0;10000;5~5~1;no PCA;Week;Day;Day;2386,54383601914;0,495531281032771;0,502681231380338;0,645161290322581
MLP;0;0;10000;30~30~1;no PCA;Week;Day;Day;1804083,85485917;0,496127110228401;0,502681231380338;0,548387096774194
Jordan;0;0;10000;30~30~1;no PCA;Week;Day;Day;730868,642529266;0,512810327706058;0,502681231380338;0,451612903225806
Elman;0;0;10000;30~30~1;no PCA;Week;Day;Day;2065652,35608125;0,495134061569017;0,502681231380338;0,612903225806452
MLP;0,5;0;10000;30~30~1;no PCA;Week;Day;Day;2196,29239750227;0,495531281032771;0,502681231380338;0,67741935483871
Jordan;0,5;0;10000;30~30~1;no PCA;Week;Day;Day;2228,23970764365;0,495729890764647;0,502681231380338;0,67741935483871
Elman;0,5;0;10000;30~30~1;no PCA;Week;Day;Day;2783,59317999508;0,495332671300894;0,502681231380338;0,548387096774194
MLP;1;0;10000;30~30~1;no PCA;Week;Day;Day;2032,96933187763;0,495134061569017;0,502681231380338;0,709677419354839
Jordan;1;0;10000;30~30~1;no PCA;Week;Day;Day;2069,77660957748;0,495332671300894;0,502681231380338;0,741935483870968
Elman;1;0;10000;30~30~1;no PCA;Week;Day;Day;3037,35721141718;0,495332671300894;0,502681231380338;0,612903225806452
MLP;1,5;0;10000;30~30~1;no PCA;Week;Day;Day;1995,60280968189;0,495332671300894;0,502681231380338;0,741935483870968
Jordan;1,5;0;10000;30~30~1;no PCA;Week;Day;Day;2061,23532695844;0,495332671300894;0,502681231380338;0,741935483870968
Elman;1,5;0;10000;30~30~1;no PCA;Week;Day;Day;3057,93874311634;0,494736842105263;0,502681231380338;0,580645161290323
MLP;2;0;10000;30~30~1;no PCA;Week;Day;Day;2037,52433527852;0,495531281032771;0,502681231380338;0,741935483870968
Jordan;2;0;10000;30~30~1;no PCA;Week;Day;Day;2133,78480102498;0,495531281032771;0,502681231380338;0,741935483870968
Elman;2;0;10000;30~30~1;no PCA;Week;Day;Day;3003,64470074577;0,494736842105263;0,502681231380338;0,612903225806452
MLP;0;0;10000;2~1;no PCA;TwoWeeks;Day;Day;2840756,83298282;0,504373757455268;0,502584493041749;0,516129032258065
Jordan;0;0;10000;2~1;no PCA;TwoWeeks;Day;Day;699680,031141034;0,49662027833002;0,502584493041749;0,516129032258065
Elman;0;0;10000;2~1;no PCA;TwoWeeks;Day;Day;2875954,1349768;0,495228628230616;0,502584493041749;0,516129032258065
MLP;0,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1451,8382685436;0,495029821073559;0,502584493041749;0,774193548387097
Jordan;0,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1493,21097615713;0,495825049701789;0,502584493041749;0,806451612903226
Elman;0,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1553,1624530274;0,495228628230616;0,502584493041749;0,774193548387097
MLP;1;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1228,16596153849;0,497017892644135;0,502584493041749;0,870967741935484
Jordan;1;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1263,60342107597;0,497216699801193;0,502584493041749;0,870967741935484
Elman;1;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1311,41309903816;0,496819085487078;0,502584493041749;0,838709677419355
MLP;1,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1212,78913070351;0,497813121272366;0,502584493041749;0,870967741935484
Jordan;1,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1240,16432291167;0,498210735586481;0,502584493041749;0,870967741935484
Elman;1,5;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1287,61607658597;0,497216699801193;0,502584493041749;0,870967741935484
MLP;2;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1206,77421391514;0,498210735586481;0,502584493041749;0,870967741935484
Jordan;2;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1242,55258154029;0,498011928429423;0,502584493041749;0,870967741935484
Elman;2;0;10000;2~1;no PCA;TwoWeeks;Day;Day;1279,19424181105;0,49741550695825;0,502584493041749;0,870967741935484
MLP;0;0;10000;10~1;no PCA;TwoWeeks;Day;Day;2758673,1808878;0,504373757455268;0,502584493041749;0,516129032258065
Jordan;0;0;10000;10~1;no PCA;TwoWeeks;Day;Day;871957,537883478;0,497614314115308;0,502584493041749;0,516129032258065
Elman;0;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1954836,7363247;0,495626242544732;0,502584493041749;0,516129032258065
MLP;0,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1438,71606943216;0,495427435387674;0,502584493041749;0,806451612903226
Jordan;0,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1483,5125104655;0,496023856858847;0,502584493041749;0,806451612903226
Elman;0,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1927,78726118456;0,494234592445328;0,502584493041749;0,741935483870968
MLP;1;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1295,63765635985;0,496819085487078;0,502584493041749;0,838709677419355
Jordan;1;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1352,48746338191;0,496819085487078;0,502584493041749;0,838709677419355
Elman;1;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1676,38509342954;0,495427435387674;0,502584493041749;0,774193548387097
MLP;1,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1336,65334867721;0,497017892644135;0,502584493041749;0,838709677419355
Jordan;1,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1346,96264564948;0,497216699801193;0,502584493041749;0,838709677419355
Elman;1,5;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1632,98893332988;0,495825049701789;0,502584493041749;0,774193548387097
MLP;2;0;10000;10~1;no PCA;TwoWeeks;Day;Day;1320,85353281488;0,497813121272366;0,502584493041749;0,870967741935484
