User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 12:53:25
CalculationTime:;02:29:39
TestCasesNumber:;10
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0;0,4;1000;10~1;no PCA;Week;Day;Day;892145,57995896
Jordan;0;0,4;1000;10~1;no PCA;Week;Day;Day;689736,834267579
Elman;0;0,4;1000;10~1;no PCA;Week;Day;Day;936972,561314598
MLP;0,2;0,4;1000;10~1;no PCA;Week;Day;Day;6975,19747484193
Jordan;0,2;0,4;1000;10~1;no PCA;Week;Day;Day;6392,71291456981
Elman;0,2;0,4;1000;10~1;no PCA;Week;Day;Day;7957,52522119751
MLP;0,4;0,4;1000;10~1;no PCA;Week;Day;Day;4126,00623059404
Jordan;0,4;0,4;1000;10~1;no PCA;Week;Day;Day;4286,85976077292
Elman;0,4;0,4;1000;10~1;no PCA;Week;Day;Day;4450,10487194354
MLP;0,6;0,4;1000;10~1;no PCA;Week;Day;Day;3055,87913303185
Jordan;0,6;0,4;1000;10~1;no PCA;Week;Day;Day;3422,57003798414
Elman;0,6;0,4;1000;10~1;no PCA;Week;Day;Day;3345,68202932723
MLP;0,8;0,4;1000;10~1;no PCA;Week;Day;Day;2846,95566930261
Jordan;0,8;0,4;1000;10~1;no PCA;Week;Day;Day;2720,62939255595
Elman;0,8;0,4;1000;10~1;no PCA;Week;Day;Day;2873,54496305655
MLP;1;0,4;1000;10~1;no PCA;Week;Day;Day;2691,1213807541
Jordan;1;0,4;1000;10~1;no PCA;Week;Day;Day;2756,01913240941
Elman;1;0,4;1000;10~1;no PCA;Week;Day;Day;2652,47030712528
MLP;0;0,6;1000;10~1;no PCA;Week;Day;Day;2636084,13735266
Jordan;0;0,6;1000;10~1;no PCA;Week;Day;Day;2632131,13500953
Elman;0;0,6;1000;10~1;no PCA;Week;Day;Day;3570926,21964705
MLP;0,2;0,6;1000;10~1;no PCA;Week;Day;Day;10310,565801588
Jordan;0,2;0,6;1000;10~1;no PCA;Week;Day;Day;8835,57190124315
Elman;0,2;0,6;1000;10~1;no PCA;Week;Day;Day;13395,5984670857
MLP;0,4;0,6;1000;10~1;no PCA;Week;Day;Day;6209,41859685294
Jordan;0,4;0,6;1000;10~1;no PCA;Week;Day;Day;6890,68321918082
Elman;0,4;0,6;1000;10~1;no PCA;Week;Day;Day;7684,33282636291
MLP;0,6;0,6;1000;10~1;no PCA;Week;Day;Day;4424,04210758338
Jordan;0,6;0,6;1000;10~1;no PCA;Week;Day;Day;4552,12506082068
Elman;0,6;0,6;1000;10~1;no PCA;Week;Day;Day;4840,06133610273
MLP;0,8;0,6;1000;10~1;no PCA;Week;Day;Day;3549,72605635718
Jordan;0,8;0,6;1000;10~1;no PCA;Week;Day;Day;3986,81206555139
Elman;0,8;0,6;1000;10~1;no PCA;Week;Day;Day;3788,41339575823
MLP;1;0,6;1000;10~1;no PCA;Week;Day;Day;3549,07108586809
Jordan;1;0,6;1000;10~1;no PCA;Week;Day;Day;3493,3408231057
Elman;1;0,6;1000;10~1;no PCA;Week;Day;Day;4143,01291160052
MLP;0;0,8;1000;10~1;no PCA;Week;Day;Day;3068903,22232653
Jordan;0;0,8;1000;10~1;no PCA;Week;Day;Day;3404115,64746536
Elman;0;0,8;1000;10~1;no PCA;Week;Day;Day;3251382,38161723
MLP;0,2;0,8;1000;10~1;no PCA;Week;Day;Day;13298,232800543
Jordan;0,2;0,8;1000;10~1;no PCA;Week;Day;Day;10727,4521893182
Elman;0,2;0,8;1000;10~1;no PCA;Week;Day;Day;14843,6567430842
MLP;0,4;0,8;1000;10~1;no PCA;Week;Day;Day;7074,75265135135
Jordan;0,4;0,8;1000;10~1;no PCA;Week;Day;Day;8345,44756323853
Elman;0,4;0,8;1000;10~1;no PCA;Week;Day;Day;10140,6948532407
MLP;0,6;0,8;1000;10~1;no PCA;Week;Day;Day;7161,68665542094
